login	uid	docid	jud	cjud
assessor127	127	74	0	0
assessor575	575	74	0	0
assessor392	392	74	0	0
assessor467	467	74	0	0
assessor536	536	74	0	0
assessor35	35	75	1	0
assessor151	151	75	0	0
assessor448	448	75	0	0
assessor267	267	75	0	0
assessor166	166	75	0	0
assessor177	177	76	1	0
assessor409	409	76	1	0
assessor38	38	76	0	0
assessor117	117	76	0	0
assessor136	136	76	0	0
assessor464	464	77	0	0
assessor60	60	77	0	0
assessor221	221	77	0	0
assessor152	152	77	0	0
assessor18	18	77	0	0
assessor243	243	78	0	0
assessor392	392	78	0	0
assessor390	390	78	1	0
assessor417	417	78	1	0
assessor389	389	78	0	0
assessor482	482	79	0	0
assessor155	155	79	0	0
assessor277	277	79	1	0
assessor73	73	79	0	0
assessor292	292	79	0	0
assessor260	260	80	0	0
assessor206	206	80	0	0
assessor408	408	80	0	0
assessor384	384	80	0	0
assessor79	79	80	0	0
assessor167	167	81	0	0
assessor497	497	81	0	0
assessor150	150	81	1	0
assessor369	369	81	0	0
assessor492	492	81	1	0
assessor563	563	82	1	0
assessor340	340	82	0	0
assessor198	198	82	0	0
assessor184	184	82	0	0
assessor273	273	82	0	0
assessor533	533	83	0	0
assessor405	405	83	0	0
assessor315	315	83	0	0
assessor572	572	83	0	0
assessor3	3	83	0	0
assessor544	544	84	0	0
assessor38	38	84	1	0
assessor29	29	84	0	0
assessor195	195	84	0	0
assessor73	73	84	0	0
assessor435	435	85	0	0
assessor410	410	85	0	0
assessor98	98	85	0	0
assessor510	510	85	0	0
assessor140	140	85	1	0
assessor103	103	86	1	0
assessor170	170	86	0	0
assessor88	88	86	0	0
assessor557	557	86	0	0
assessor412	412	86	0	0
assessor509	509	87	1	1
assessor489	489	87	1	1
assessor391	391	87	1	1
assessor332	332	87	0	1
assessor463	463	87	1	1
assessor304	304	88	0	1
assessor108	108	88	1	1
assessor486	486	88	1	1
assessor408	408	88	1	1
assessor30	30	88	1	1
assessor126	126	89	0	0
assessor455	455	89	0	0
assessor425	425	89	1	0
assessor426	426	89	0	0
assessor478	478	89	0	0
assessor539	539	90	0	0
assessor248	248	90	0	0
assessor532	532	90	0	0
assessor195	195	90	1	0
assessor561	561	90	0	0
assessor104	104	91	0	0
assessor6	6	91	0	0
assessor517	517	91	0	0
assessor548	548	91	0	0
assessor522	522	91	0	0
assessor186	186	92	0	0
assessor230	230	92	0	0
assessor529	529	92	0	0
assessor567	567	92	0	0
assessor447	447	92	0	0
assessor65	65	93	1	0
assessor268	268	93	0	0
assessor372	372	93	0	0
assessor87	87	93	0	0
assessor143	143	93	0	0
assessor553	553	94	0	0
assessor65	65	94	0	0
assessor236	236	94	0	0
assessor548	548	94	0	0
assessor6	6	94	0	0
assessor148	148	95	0	0
assessor445	445	95	0	0
assessor99	99	95	0	0
assessor311	311	95	0	0
assessor203	203	95	0	0
assessor342	342	96	0	0
assessor168	168	96	0	0
assessor294	294	96	0	0
assessor172	172	96	0	0
assessor372	372	96	0	0
assessor252	252	97	0	0
assessor327	327	97	0	0
assessor242	242	97	0	0
assessor584	584	97	0	0
assessor184	184	97	0	0
assessor316	316	98	1	1
assessor173	173	98	1	1
assessor546	546	98	1	1
assessor361	361	98	1	1
assessor424	424	98	1	1
assessor507	507	99	1	0
assessor98	98	99	0	0
assessor465	465	99	0	0
assessor224	224	99	0	0
assessor318	318	99	0	0
assessor313	313	100	1	0
assessor113	113	100	0	0
assessor343	343	100	0	0
assessor159	159	100	0	0
assessor107	107	100	0	0
assessor180	180	101	0	0
assessor288	288	101	0	0
assessor94	94	101	1	0
assessor569	569	101	1	0
assessor553	553	101	1	0
assessor536	536	102	1	0
assessor226	226	102	0	0
assessor149	149	102	0	0
assessor298	298	102	0	0
assessor473	473	102	0	0
assessor431	431	103	0	0
assessor416	416	103	0	0
assessor186	186	103	0	0
assessor448	448	103	0	0
assessor485	485	103	0	0
assessor201	201	104	0	0
assessor155	155	104	0	0
assessor108	108	104	1	0
assessor547	547	104	0	0
assessor445	445	104	0	0
assessor380	380	105	1	1
assessor251	251	105	1	1
assessor200	200	105	0	1
assessor368	368	105	0	1
assessor522	522	105	1	1
assessor509	509	106	0	0
assessor73	73	106	1	0
assessor64	64	106	0	0
assessor240	240	106	0	0
assessor461	461	106	0	0
assessor100	100	107	0	0
assessor121	121	107	0	0
assessor462	462	107	0	0
assessor501	501	107	0	0
assessor527	527	107	1	0
assessor103	103	108	0	0
assessor266	266	108	1	0
assessor23	23	108	0	0
assessor25	25	108	0	0
assessor469	469	108	0	0
assessor281	281	109	1	0
assessor26	26	109	0	0
assessor235	235	109	0	0
assessor488	488	109	1	0
assessor145	145	109	0	0
assessor195	195	110	1	1
assessor472	472	110	0	1
assessor376	376	110	1	1
assessor0	0	110	1	1
assessor141	141	110	1	1
assessor163	163	111	0	0
assessor107	107	111	0	0
assessor271	271	111	0	0
assessor11	11	111	0	0
assessor596	596	111	0	0
assessor202	202	112	1	1
assessor451	451	112	1	1
assessor101	101	112	1	1
assessor418	418	112	0	1
assessor367	367	112	0	1
assessor402	402	113	1	0
assessor389	389	113	0	0
assessor547	547	113	1	0
assessor133	133	113	1	0
assessor568	568	113	0	0
assessor278	278	114	0	0
assessor462	462	114	0	0
assessor193	193	114	0	0
assessor578	578	114	0	0
assessor126	126	114	0	0
assessor363	363	115	0	0
assessor599	599	115	0	0
assessor238	238	115	0	0
assessor318	318	115	0	0
assessor470	470	115	0	0
assessor576	576	116	0	1
assessor59	59	116	1	1
assessor309	309	116	1	1
assessor394	394	116	1	1
assessor214	214	116	1	1
assessor397	397	117	0	0
assessor169	169	117	1	0
assessor277	277	117	0	0
assessor343	343	117	0	0
assessor475	475	117	0	0
assessor343	343	118	0	0
assessor259	259	118	0	0
assessor532	532	118	0	0
assessor181	181	118	0	0
assessor141	141	118	0	0
assessor74	74	119	0	0
assessor241	241	119	0	0
assessor193	193	119	0	0
assessor106	106	119	0	0
assessor85	85	119	0	0
assessor513	513	120	1	0
assessor47	47	120	1	0
assessor571	571	120	1	0
assessor432	432	120	0	0
assessor574	574	120	0	0
assessor35	35	121	1	1
assessor309	309	121	1	1
assessor215	215	121	1	1
assessor224	224	121	1	1
assessor358	358	121	1	1
assessor34	34	122	1	0
assessor20	20	122	0	0
assessor32	32	122	0	0
assessor433	433	122	0	0
assessor22	22	122	0	0
assessor543	543	123	0	0
assessor425	425	123	0	0
assessor599	599	123	0	0
assessor68	68	123	0	0
assessor288	288	123	0	0
assessor294	294	124	0	0
assessor398	398	124	0	0
assessor31	31	124	1	0
assessor281	281	124	0	0
assessor452	452	124	0	0
assessor67	67	125	0	0
assessor549	549	125	0	0
assessor129	129	125	0	0
assessor185	185	125	0	0
assessor288	288	125	1	0
assessor381	381	126	1	0
assessor591	591	126	0	0
assessor162	162	126	1	0
assessor390	390	126	0	0
assessor567	567	126	0	0
assessor240	240	127	1	0
assessor189	189	127	0	0
assessor439	439	127	0	0
assessor360	360	127	1	0
assessor289	289	127	0	0
assessor175	175	128	0	0
assessor78	78	128	1	0
assessor346	346	128	0	0
assessor528	528	128	0	0
assessor468	468	128	0	0
assessor271	271	129	0	1
assessor70	70	129	1	1
assessor169	169	129	1	1
assessor131	131	129	1	1
assessor551	551	129	1	1
assessor230	230	130	0	0
assessor529	529	130	0	0
assessor216	216	130	1	0
assessor429	429	130	0	0
assessor295	295	130	1	0
assessor471	471	131	0	0
assessor351	351	131	0	0
assessor421	421	131	0	0
assessor21	21	131	0	0
assessor226	226	131	0	0
assessor483	483	132	0	0
assessor150	150	132	0	0
assessor198	198	132	0	0
assessor535	535	132	0	0
assessor57	57	132	1	0
assessor284	284	133	0	0
assessor309	309	133	0	0
assessor248	248	133	0	0
assessor64	64	133	0	0
assessor557	557	133	0	0
assessor310	310	134	0	0
assessor113	113	134	0	0
assessor120	120	134	0	0
assessor284	284	134	0	0
assessor346	346	134	0	0
assessor320	320	135	0	0
assessor245	245	135	1	0
assessor189	189	135	0	0
assessor3	3	135	1	0
assessor315	315	135	0	0
assessor561	561	136	0	0
assessor111	111	136	0	0
assessor349	349	136	1	0
assessor15	15	136	1	0
assessor25	25	136	0	0
assessor136	136	137	1	1
assessor59	59	137	1	1
assessor113	113	137	1	1
assessor350	350	137	1	1
assessor97	97	137	0	1
assessor473	473	138	0	0
assessor314	314	138	0	0
assessor125	125	138	0	0
assessor64	64	138	0	0
assessor579	579	138	0	0
assessor429	429	139	0	0
assessor45	45	139	0	0
assessor382	382	139	0	0
assessor301	301	139	0	0
assessor95	95	139	0	0
assessor85	85	140	1	1
assessor318	318	140	1	1
assessor16	16	140	1	1
assessor242	242	140	0	1
assessor400	400	140	1	1
assessor288	288	141	0	0
assessor341	341	141	0	0
assessor290	290	141	0	0
assessor505	505	141	0	0
assessor512	512	141	0	0
assessor166	166	142	0	0
assessor107	107	142	0	0
assessor414	414	142	0	0
assessor495	495	142	0	0
assessor296	296	142	0	0
assessor44	44	143	0	0
assessor356	356	143	0	0
assessor393	393	143	0	0
assessor38	38	143	0	0
assessor524	524	143	0	0
assessor359	359	144	0	0
assessor196	196	144	1	0
assessor563	563	144	0	0
assessor592	592	144	0	0
assessor274	274	144	0	0
assessor480	480	145	0	0
assessor94	94	145	0	0
assessor146	146	145	0	0
assessor75	75	145	0	0
assessor504	504	145	0	0
assessor543	543	146	0	0
assessor311	311	146	0	0
assessor445	445	146	0	0
assessor378	378	146	0	0
assessor385	385	146	0	0
assessor0	0	147	0	0
assessor153	153	147	1	0
assessor526	526	147	0	0
assessor254	254	147	0	0
assessor217	217	147	0	0
assessor468	468	148	0	0
assessor19	19	148	0	0
assessor32	32	148	0	0
assessor37	37	148	0	0
assessor302	302	148	0	0
assessor261	261	149	1	0
assessor176	176	149	1	0
assessor159	159	149	0	0
assessor112	112	149	0	0
assessor214	214	149	0	0
assessor472	472	150	1	0
assessor474	474	150	0	0
assessor229	229	150	0	0
assessor261	261	150	0	0
assessor283	283	150	0	0
assessor487	487	151	0	0
assessor229	229	151	1	0
assessor434	434	151	0	0
assessor536	536	151	0	0
assessor141	141	151	0	0
assessor371	371	152	0	0
assessor449	449	152	0	0
assessor224	224	152	0	0
assessor92	92	152	1	0
assessor70	70	152	0	0
assessor37	37	153	0	0
assessor364	364	153	0	0
assessor193	193	153	0	0
assessor53	53	153	0	0
assessor279	279	153	0	0
assessor409	409	154	0	0
assessor299	299	154	0	0
assessor205	205	154	0	0
assessor77	77	154	0	0
assessor314	314	154	1	0
assessor123	123	155	1	1
assessor597	597	155	1	1
assessor361	361	155	0	1
assessor404	404	155	1	1
assessor446	446	155	1	1
assessor406	406	156	0	0
assessor70	70	156	1	0
assessor300	300	156	0	0
assessor236	236	156	0	0
assessor500	500	156	0	0
assessor211	211	157	0	0
assessor576	576	157	0	0
assessor589	589	157	1	0
assessor292	292	157	0	0
assessor401	401	157	0	0
assessor226	226	158	0	0
assessor363	363	158	0	0
assessor565	565	158	0	0
assessor198	198	158	0	0
assessor292	292	158	0	0
assessor8	8	159	0	0
assessor369	369	159	0	0
assessor467	467	159	0	0
assessor133	133	159	0	0
assessor157	157	159	1	0
assessor90	90	160	1	1
assessor336	336	160	1	1
assessor312	312	160	1	1
assessor183	183	160	1	1
assessor438	438	160	1	1
assessor4	4	161	0	0
assessor476	476	161	0	0
assessor327	327	161	0	0
assessor28	28	161	0	0
assessor579	579	161	0	0
assessor125	125	162	0	0
assessor345	345	162	0	0
assessor4	4	162	0	0
assessor7	7	162	0	0
assessor388	388	162	0	0
assessor441	441	163	0	0
assessor209	209	163	0	0
assessor256	256	163	0	0
assessor105	105	163	1	0
assessor207	207	163	0	0
assessor333	333	164	0	0
assessor310	310	164	0	0
assessor13	13	164	1	0
assessor411	411	164	0	0
assessor342	342	164	0	0
assessor123	123	165	0	0
assessor38	38	165	1	0
assessor515	515	165	1	0
assessor90	90	165	1	0
assessor39	39	165	0	0
assessor443	443	166	0	0
assessor279	279	166	0	0
assessor350	350	166	0	0
assessor278	278	166	0	0
assessor177	177	166	0	0
assessor236	236	167	1	0
assessor142	142	167	1	0
assessor179	179	167	1	0
assessor335	335	167	0	0
assessor145	145	167	0	0
assessor47	47	168	0	0
assessor290	290	168	0	0
assessor555	555	168	1	0
assessor123	123	168	1	0
assessor54	54	168	0	0
assessor444	444	169	0	0
assessor81	81	169	0	0
assessor439	439	169	0	0
assessor349	349	169	0	0
assessor203	203	169	0	0
assessor190	190	170	1	1
assessor214	214	170	1	1
assessor276	276	170	1	1
assessor548	548	170	1	1
assessor81	81	170	1	1
assessor111	111	171	0	0
assessor230	230	171	1	0
assessor236	236	171	0	0
assessor555	555	171	0	0
assessor100	100	171	0	0
assessor111	111	172	0	0
assessor525	525	172	0	0
assessor164	164	172	0	0
assessor308	308	172	0	0
assessor79	79	172	1	0
assessor339	339	173	0	0
assessor77	77	173	0	0
assessor500	500	173	0	0
assessor399	399	173	0	0
assessor459	459	173	0	0
assessor214	214	174	0	0
assessor245	245	174	1	0
assessor78	78	174	1	0
assessor384	384	174	0	0
assessor246	246	174	0	0
assessor280	280	175	1	1
assessor168	168	175	1	1
assessor261	261	175	1	1
assessor240	240	175	1	1
assessor548	548	175	1	1
assessor236	236	176	1	1
assessor491	491	176	1	1
assessor310	310	176	0	1
assessor249	249	176	1	1
assessor315	315	176	1	1
assessor379	379	177	0	0
assessor331	331	177	0	0
assessor555	555	177	0	0
assessor264	264	177	0	0
assessor219	219	177	0	0
assessor380	380	178	0	0
assessor330	330	178	0	0
assessor463	463	178	0	0
assessor391	391	178	1	0
assessor115	115	178	0	0
assessor230	230	179	0	0
assessor590	590	179	0	0
assessor291	291	179	0	0
assessor450	450	179	1	0
assessor538	538	179	0	0
assessor167	167	180	1	0
assessor587	587	180	0	0
assessor417	417	180	0	0
assessor332	332	180	0	0
assessor100	100	180	0	0
assessor503	503	181	0	0
assessor583	583	181	0	0
assessor426	426	181	0	0
assessor416	416	181	1	0
assessor418	418	181	0	0
assessor190	190	182	0	0
assessor531	531	182	0	0
assessor349	349	182	0	0
assessor297	297	182	0	0
assessor230	230	182	0	0
assessor327	327	183	1	1
assessor450	450	183	1	1
assessor497	497	183	1	1
assessor275	275	183	1	1
assessor414	414	183	1	1
assessor73	73	184	0	0
assessor222	222	184	0	0
assessor482	482	184	1	0
assessor495	495	184	0	0
assessor58	58	184	0	0
assessor417	417	185	0	0
assessor450	450	185	0	0
assessor94	94	185	0	0
assessor27	27	185	1	0
assessor331	331	185	0	0
assessor541	541	186	0	0
assessor116	116	186	0	0
assessor309	309	186	0	0
assessor272	272	186	0	0
assessor564	564	186	0	0
assessor215	215	187	0	0
assessor220	220	187	0	0
assessor105	105	187	0	0
assessor139	139	187	1	0
assessor396	396	187	1	0
assessor207	207	188	1	1
assessor21	21	188	1	1
assessor37	37	188	1	1
assessor395	395	188	1	1
assessor226	226	188	1	1
assessor199	199	189	0	0
assessor13	13	189	1	0
assessor110	110	189	0	0
assessor555	555	189	0	0
assessor597	597	189	0	0
assessor190	190	190	0	0
assessor66	66	190	0	0
assessor461	461	190	0	0
assessor524	524	190	0	0
assessor393	393	190	1	0
assessor2	2	191	0	1
assessor368	368	191	1	1
assessor392	392	191	1	1
assessor326	326	191	1	1
assessor1	1	191	1	1
assessor262	262	192	0	0
assessor112	112	192	1	0
assessor389	389	192	0	0
assessor454	454	192	0	0
assessor159	159	192	0	0
assessor37	37	193	0	0
assessor151	151	193	0	0
assessor356	356	193	0	0
assessor591	591	193	0	0
assessor474	474	193	0	0
assessor222	222	194	0	0
assessor28	28	194	0	0
assessor274	274	194	0	0
assessor326	326	194	0	0
assessor572	572	194	0	0
assessor256	256	195	0	0
assessor584	584	195	0	0
assessor128	128	195	0	0
assessor450	450	195	0	0
assessor523	523	195	0	0
assessor257	257	196	0	0
assessor28	28	196	0	0
assessor254	254	196	0	0
assessor563	563	196	0	0
assessor333	333	196	0	0
assessor4	4	197	0	0
assessor545	545	197	0	0
assessor81	81	197	0	0
assessor489	489	197	1	0
assessor318	318	197	0	0
assessor110	110	198	0	0
assessor252	252	198	1	0
assessor450	450	198	0	0
assessor103	103	198	1	0
assessor519	519	198	0	0
assessor305	305	199	0	0
assessor421	421	199	0	0
assessor331	331	199	0	0
assessor123	123	199	0	0
assessor313	313	199	0	0
assessor39	39	200	0	0
assessor182	182	200	0	0
assessor298	298	200	0	0
assessor265	265	200	1	0
assessor215	215	200	0	0
assessor421	421	201	0	0
assessor553	553	201	1	0
assessor67	67	201	1	0
assessor475	475	201	0	0
assessor453	453	201	0	0
assessor133	133	202	1	0
assessor567	567	202	0	0
assessor330	330	202	0	0
assessor500	500	202	0	0
assessor215	215	202	1	0
assessor35	35	203	1	1
assessor31	31	203	1	1
assessor65	65	203	1	1
assessor259	259	203	1	1
assessor446	446	203	1	1
assessor425	425	204	0	0
assessor180	180	204	0	0
assessor177	177	204	1	0
assessor126	126	204	0	0
assessor249	249	204	0	0
assessor331	331	205	1	1
assessor360	360	205	1	1
assessor265	265	205	1	1
assessor63	63	205	1	1
assessor380	380	205	1	1
assessor94	94	206	0	0
assessor194	194	206	0	0
assessor316	316	206	0	0
assessor152	152	206	0	0
assessor378	378	206	0	0
assessor95	95	207	1	1
assessor184	184	207	1	1
assessor264	264	207	1	1
assessor402	402	207	0	1
assessor346	346	207	1	1
assessor89	89	208	0	0
assessor11	11	208	0	0
assessor457	457	208	0	0
assessor587	587	208	0	0
assessor541	541	208	1	0
assessor203	203	209	0	0
assessor280	280	209	0	0
assessor281	281	209	1	0
assessor339	339	209	0	0
assessor555	555	209	0	0
assessor80	80	210	0	0
assessor576	576	210	0	0
assessor566	566	210	0	0
assessor488	488	210	0	0
assessor106	106	210	0	0
assessor571	571	211	1	0
assessor587	587	211	0	0
assessor87	87	211	0	0
assessor569	569	211	0	0
assessor293	293	211	0	0
assessor24	24	212	0	0
assessor379	379	212	0	0
assessor287	287	212	0	0
assessor125	125	212	0	0
assessor175	175	212	0	0
assessor328	328	213	0	0
assessor415	415	213	1	0
assessor542	542	213	0	0
assessor59	59	213	0	0
assessor236	236	213	0	0
assessor235	235	214	1	1
assessor186	186	214	1	1
assessor359	359	214	1	1
assessor326	326	214	0	1
